date,event_name,event_category,mechanism,event_trading_date,days_to_trading_date,window_start,window_end,brief_description,source,surprise_score,surprise_rationale,event_family,event_repetition_level
2022-07-19,China Warns Against Pelosi Taiwan Visit,Diplomatic Shock,Risk,2022-07-19,0,2022-07-08,2022-07-28,China warned of strong measures if Pelosi visited Taiwan,https://www.axios.com/2022/07/19/china-pelosi-taiwan-visit,Medium,"The possibility of a Pelosi visit was already public, but the warning clarified escalation risk and official PRC signaling before the visit.",Diplomatic_Shock,1
2022-08-02,Pelosi Visit,Diplomatic Shock,Risk,2022-08-02,0,2022-07-22,2022-08-11,U.S. House Speaker Nancy Pelosi visited Taiwan amid PRC warnings,https://www.cnbc.com/2022/08/02/china-ratchets-up-military-and-economic-pressure-on-taiwan-as-pelosi-begins-her-visit-.html,High,"The visit was discussed in advance, but uncertainty remained over whether it would occur and how Beijing would respond.",Diplomatic_Shock,1
2022-08-03,China Trade Restrictions After Pelosi Visit,Economic Coercion,Risk,2022-08-03,0,2022-07-25,2022-08-12,China blocked selected Taiwan imports and halted natural sand exports,https://www.cfr.org/blog/china-punishes-taiwan-pelosis-visit-what-comes-next,Medium,"Retaliation after the Pelosi visit was plausible, but the specific trade restrictions and market relevance were not fully known before announcement.",Economic_Coercion,1
2022-08-04,PLA Military Exercises After Pelosi Visit,Military Demonstration,Risk,2022-08-04,0,2022-07-26,2022-08-15,China conducted major military drills and fired missiles near Taiwan,https://www.investing.com/news/stock-market-news/suspected-drones-over-taiwan-cyber-attacks-after-pelosi-visit-2862740,Medium,"A military response was expected after the visit, but the scale and operational intensity of the exercises still introduced new information.",Military_Exercise,1
2022-10-07,BIS Advanced Semiconductor Export Controls,Technology Competition,Strategic_Importance,2022-10-07,0,2022-09-28,2022-10-18,U.S. imposed advanced computing and semiconductor manufacturing controls on China,https://www.bis.gov/press-release/commerce-implements-new-export-controls-advanced-computing-semiconductor-manufacturing-items-peoples,Medium,"U.S.-China technology controls were foreseeable, but the scope of the advanced-computing and semiconductor restrictions contained important new policy detail.",Export_Control,1
2022-12-06,TSMC Arizona US$40B Expansion,Technology Competition,Strategic_Importance,2022-12-06,0,2022-11-25,2022-12-15,TSMC announced updates expanding Arizona investment to about US$40 billion,https://pr.tsmc.com/english/news/2977,Medium,"TSMC's Arizona investment was known, but the expanded scale and strategic interpretation of the announcement added new information.",Strategic_Investment,1
2023-04-08,Joint Sword 2023,Military Demonstration,Risk,2023-04-10,2,2023-03-30,2023-04-19,PLA launched Joint Sword exercises around Taiwan after the Tsai-McCarthy meeting,https://chinapower.csis.org/tracking-chinas-april-2023-military-exercises-around-taiwan/,Medium,"A PRC response to the Tsai-McCarthy meeting was plausible, but the timing and scale of Joint Sword 2023 remained uncertain before the exercises.",Military_Exercise,2
2023-08-12,Lai U.S. Transit,Diplomatic Shock,Risk,2023-08-14,2,2023-08-03,2023-08-23,Taiwan Vice President Lai Ching-te transited through the United States,https://www.aljazeera.com/news/2023/8/19/china-launches-military-drills-in-stern-warning-to-taiwan-after-us-visit,Low,"The transit was scheduled and publicly visible before the event, making the occurrence relatively expected even if follow-on reactions remained uncertain.",Diplomatic_Shock,2
2023-08-19,PLA Drills After Lai U.S. Transit,Military Demonstration,Risk,2023-08-21,2,2023-08-10,2023-08-30,China launched military drills around Taiwan after Lai's U.S. transit,https://www.aljazeera.com/news/2023/8/19/china-launches-military-drills-in-stern-warning-to-taiwan-after-us-visit,Medium,"A military response to Lai's U.S. transit was foreseeable, but the specific timing and operational form still mattered for market interpretation.",Military_Exercise,2
2023-08-26,China Sends Aircraft and Vessels After U.S. Arms Sale,Military Demonstration,Risk,2023-08-28,2,2023-08-17,2023-09-06,China sent aircraft and vessels toward Taiwan after a U.S. arms sale approval,https://apnews.com/article/eb8722669ffe806ea9e92cae3fc3577f,Low,"PRC military signaling after U.S.-Taiwan arms-related developments fits a recurring pattern and was less likely to surprise investors as a category.",Military_Exercise,3
2024-04-08,TSMC CHIPS Act Preliminary Terms,Technology Competition,Strategic_Importance,2024-04-08,0,2024-03-28,2024-04-17,U.S. Commerce announced preliminary CHIPS Act terms with TSMC,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-tsmc-expanded,Medium,"CHIPS Act support for semiconductor production was expected, but the preliminary terms with TSMC contained new strategic and financial details.",Strategic_Investment,2
2024-05-20,Lai Ching-te Inauguration,Political Signaling,Risk,2024-05-20,0,2024-05-09,2024-05-29,Lai Ching-te was inaugurated as Taiwan president,https://chinapower.csis.org/china-respond-inauguration-taiwan-william-lai-joint-sword-2024a-military-exercise/,Low,"The inauguration date was scheduled and highly visible, so the event itself was expected even if PRC reactions remained uncertain.",Political_Signaling,1
2024-05-23,Joint Sword-2024A,Military Demonstration,Risk,2024-05-23,0,2024-05-14,2024-06-03,PLA launched Joint Sword-2024A exercises around Taiwan after Lai's inauguration,https://www.mnd.gov.tw/en/Publication/83035,Medium,"A PRC military response after Lai's inauguration was widely plausible, but the exercise timing and operational details still introduced information.",Military_Exercise,3
2024-06-21,PRC Judicial Guidelines on Taiwan Independence,Political Signaling,Risk,2024-06-21,0,2024-06-12,2024-07-02,China issued guidelines for punishing diehard Taiwan independence separatists,https://english.scio.gov.cn/pressroom/2024-06/21/content_117267501.htm,Medium,"PRC legal pressure on Taiwan independence was consistent with prior signaling, but the formal judicial guidelines introduced specific legal-political content.",Legal_Judicial_Signaling,1
2024-10-14,Joint Sword-2024B,Military Demonstration,Risk,2024-10-14,0,2024-10-03,2024-10-23,PLA launched Joint Sword-2024B exercises around Taiwan,https://chinapower.csis.org/china-taiwan-joint-sword-2024b-coast-guard/,Low,"The event fit an increasingly recognizable Joint Sword pattern, making the category relatively expected even if details remained uncertain.",Military_Exercise,4
2025-01-22,PLA Joint Combat Readiness Patrols Around Taiwan,Military Demonstration,Risk,2025-01-22,0,2025-01-13,2025-01-31,PLA aircraft and warships surrounded Taiwan during joint combat readiness patrols,https://www.taipeitimes.com/News/taiwan/archives/2025/01/24/2003830754,Low,"Joint patrols and military presence around Taiwan had become a repeated grey-zone pattern, reducing surprise at the event-family level.",Military_Exercise,4
2025-03-04,TSMC US$165B U.S. Expansion,Technology Competition,Strategic_Importance,2025-03-04,0,2025-02-21,2025-03-13,TSMC announced plans to expand U.S. investment to US$165 billion,https://pr.tsmc.com/english/news/3210,Medium,"Further U.S. semiconductor investment was plausible, but the size of the expansion and its strategic framing added new information.",Strategic_Investment,3
2025-04-01,Strait Thunder-2025A,Military Demonstration,Risk,2025-04-01,0,2025-03-21,2025-04-10,China launched major drills around Taiwan simulating attacks and maritime blockades,https://www.npr.org/2025/04/01/g-s1-57434/china-military-exercises-taiwan,Medium,"Military drills around Taiwan were part of a repeated pattern, but the exercise name, scale, and simulated blockade content still carried event-specific information.",Military_Exercise,4
